"Case","JourneyCode","HolidayType","Price","NumberOfPersons","Region","Transportation","Duration","Season","Accommodation","Hotel"
"Journey231","231.0","Recreation","2108.0","5.0","Brittany","Car","14.0","July","HolidayFlat","H.Flat Brittany"
"Journey232","232.0","Recreation","1258.0","4.0","Brittany","Car","14.0","August","HolidayFlat","H.Flat Brittany"
"Journey233","233.0","Recreation","1797.0","4.0","Brittany","Car","21.0","June","HolidayFlat","H.Flat Brittany"
"Journey234","234.0","Bathing","3485.0","3.0","Attica","Plane","14.0","May","FourStars","Hotel Golden Coast, Attica"
"Journey235","235.0","Bathing","2038.0","2.0","Attica","Plane","14.0","April","TwoStars","Hotel Calamos Beach, Attica"
"Journey236","236.0","Bathing","3129.0","4.0","Attica","Plane","7.0","September","ThreeStars","Hotel Kalypso Club, Attica"
"Journey237","237.0","Bathing","2518.0","2.0","Attica","Plane","14.0","June","ThreeStars","Hotel Menexelis, Attica"
"Journey238","238.0","Bathing","3215.0","3.0","Attica","Plane","14.0","July","ThreeStars","Hotel Miramare, Attica"
"Journey239","239.0","Bathing","4002.0","3.0","Attica","Plane","21.0","September","FourStars","Hotel Holidays in Evia, Attica"
"Journey240","240.0","Bathing","3216.0","4.0","Attica","Plane","7.0","August","ThreeStars","Hotel Menexelis, Attica"
"Journey241","241.0","Bathing","1149.0","1.0","Attica","Plane","14.0","June","TwoStars","Hotel Calamos Beach, Attica"
"Journey242","242.0","Bathing","3658.0","2.0","Attica","Plane","14.0","July","FourStars","Hotel Golden Coast, Attica"
"Journey243","243.0","Bathing","3458.0","2.0","Attica","Plane","21.0","August","ThreeStars","Hotel Menexelis, Attica"
"Journey244","244.0","Bathing","2742.0","3.0","Attica","Plane","14.0","July","TwoStars","Hotel Calamos Beach, Attica"
"Journey245","245.0","Recreation","2258.0","2.0","Attica","Plane","7.0","June","FourStars","Hotel Golden Coast, Attica"
"Journey246","246.0","Recreation","1169.0","1.0","Attica","Plane","14.0","September","ThreeStars","Hotel Miramare, Attica"
"Journey247","247.0","Recreation","3215.0","3.0","Attica","Plane","14.0","August","ThreeStars","Hotel Miramare, Attica"
"Journey248","248.0","Recreation","3378.0","2.0","Attica","Plane","21.0","May","FourStars","Hotel Golden Coast, Attica"
"Journey249","249.0","Bathing","2787.0","3.0","Chalkidiki","Plane","14.0","July","TwoStars","Hotel Sermyli, Chalkidiki"
"Journey250","250.0","Bathing","4673.0","4.0","Chalkidiki","Plane","14.0","August","ThreeStars","Hotel Portes Beach, Chalkidiki"
"Journey251","251.0","Bathing","2898.0","2.0","Chalkidiki","Plane","21.0","September","ThreeStars","Hotel Mendi, Chalkidiki"
"Journey252","252.0","Bathing","2538.0","2.0","Chalkidiki","Plane","14.0","June","ThreeStars","Hotel Olympico, Chalkidiki"
"Journey253","253.0","Bathing","2427.0","3.0","Chalkidiki","Plane","7.0","July","ThreeStars","Hotel Olympico, Chalkidiki"
"Journey254","254.0","Recreation","2358.0","2.0","Chalkidiki","Plane","14.0","May","ThreeStars","Hotel Olympico, Chalkidiki"
"Journey255","255.0","Recreation","2898.0","2.0","Chalkidiki","Plane","21.0","September","ThreeStars","Hotel Mendi, Chalkidiki"
"Journey256","256.0","Recreation","2398.0","2.0","Chalkidiki","Plane","14.0","June","ThreeStars","Hotel Mendi, Chalkidiki"
"Journey257","257.0","Active","3718.0","3.0","Chalkidiki","Plane","14.0","July","FourStars","Hotel Sani Beach, Chalkidiki"
"Journey258","258.0","Active","3299.0","3.0","Chalkidiki","Plane","7.0","August","FourStars","Hotel Sani Beach, Chalkidik"
"Journey259","259.0","Active","3318.0","2.0","Chalkidiki","Plane","14.0","June","FourStars","Hotel Sani Beach, Chalkidik"
"Journey260","260.0","Recreation","5329.0","4.0","Chalkidiki","Plane","14.0","July","FourStars","Hotel Athos Palace, Chalkidiki"
"Journey261","261.0","Recreation","3258.0","2.0","Chalkidiki","Plane","21.0","May","FourStars","Hotel Athos Palace, Chalkidiki"
"Journey262","262.0","Recreation","3038.0","2.0","Chalkidiki","Plane","14.0","September","FourStars","Hotel Athos Palace, Chalkidiki"
"Journey263","263.0","Education","2738.0","2.0","Chalkidiki","Plane","21.0","October","FourStars","Hotel Athos Palace, Chalkidiki"
"Journey264","264.0","Bathing","2831.0","3.0","Corfu","Plane","14.0","June","TwoStars","Hotel Iliada, Corfu"
"Journey265","265.0","Bathing","3644.0","4.0","Corfu","Plane","14.0","July","TwoStars","Hotel Iliada, Corfu"
"Journey266","266.0","Bathing","3258.0","2.0","Corfu","Plane","21.0","September","ThreeStars","Hotel Belvedere, Corfu"
"Journey267","267.0","Bathing","3793.0","3.0","Corfu","Plane","14.0","August","ThreeStars","Hotel Belvedere, Corfu"
"Journey268","268.0","Bathing","2779.0","3.0","Corfu","Plane","7.0","August","ThreeStars","Hotel Belvedere, Corfu"
"Journey269","269.0","Bathing","2698.0","2.0","Corfu","Plane","14.0","June","ThreeStars","Hotel Coral, Corfu"
"Journey270","270.0","Bathing","3649.0","3.0","Corfu","Plane","21.0","September","ThreeStars","Hotel Coral, Corfu"
"Journey271","271.0","Bathing","3078.0","2.0","Corfu","Plane","14.0","July","ThreeStars","Hotel Coral, Corfu"
"Journey272","272.0","Bathing","3198.0","2.0","Corfu","Plane","14.0","September","ThreeStars","Hotel Mirabell, Corfu"
"Journey273","273.0","Active","3758.0","2.0","Corfu","Plane","21.0","June","ThreeStars","Hotel Mirabell, Corfu"
"Journey274","274.0","Active","3198.0","3.0","Corfu","Plane","14.0","August","ThreeStars","Hotel Mirabell, Corfu"
"Journey275","275.0","Active","2158.0","2.0","Corfu","Plane","7.0","July","FourStars","Hotel Regency, Corfu"
"Journey276","276.0","Recreation","3418.0","2.0","Corfu","Plane","21.0","June","FourStars","Hotel Regency, Corfu"
"Journey277","277.0","Recreation","3038.0","2.0","Corfu","Plane","14.0","September","FourStars","Hotel Kerkyra Golf, Corfu"
"Journey278","278.0","Recreation","2043.0","3.0","Corfu","Plane","7.0","May","FourStars","Hotel Kerkyra Golf, Corfu"
"Journey279","279.0","Bathing","2498.0","2.0","Crete","Plane","14.0","June","TwoStars","Hotel Oceanis, Crete"
"Journey280","280.0","Bathing","2417.0","3.0","Crete","Plane","14.0","July","TwoStars","Hotel Ilios, Crete"
"Journey281","281.0","Active","2825.0","4.0","Crete","Plane","7.0","August","TwoStars","Hotel Oceanis, Crete"
"Journey282","282.0","Bathing","3498.0","2.0","Crete","Plane","14.0","September","ThreeStars","Hotel Creta Beach, Crete"
"Journey283","283.0","Bathing","4198.0","2.0","Crete","Plane","21.0","June","ThreeStars","Hotel Creta Beach, Crete"
"Journey284","284.0","Bathing","3847.0","3.0","Crete","Plane","14.0","August","ThreeStars","Hotel Creta Beach, Crete"
"Journey285","285.0","Bathing","3175.0","4.0","Crete","Plane","7.0","July","ThreeStars","Hotel Gortyna, Crete"
"Journey286","286.0","Active","3038.0","2.0","Crete","Plane","14.0","September","ThreeStars","Hotel Gortyna, Crete"
"Journey287","287.0","Active","2758.0","2.0","Crete","Plane","14.0","June","ThreeStars","Hotel Gortyna, Crete"
"Journey288","288.0","Bathing","3198.0","2.0","Crete","Plane","14.0","June","FourStars","Hotel Fodele Beach, Crete"
"Journey289","289.0","Bathing","2298.0","2.0","Crete","Plane","7.0","May","FourStars","Hotel Fodele Beach, Crete"
"Journey290","290.0","Bathing","6609.0","3.0","Crete","Plane","21.0","July","FourStars","Hotel Bali Paradise, Crete"
"Journey291","291.0","Active","4068.0","3.0","Crete","Plane","14.0","August","FourStars","Hotel Bali Paradise, Crete"
"Journey292","292.0","Active","4463.0","3.0","Crete","Plane","21.0","June","FourStars","Hotel Europa Beach, Crete"
"Journey293","293.0","Education","3038.0","2.0","Crete","Plane","14.0","May","FourStars","Hotel Europa Beach, Crete"
"Journey294","294.0","Bathing","2263.0","3.0","Rhodes","Plane","14.0","May","TwoStars","Studios Argiro, Rhodes"
"Journey295","295.0","Bathing","2428.0","2.0","Rhodes","Plane","21.0","June","TwoStars","Studios Argiro, Rhodes"
"Journey296","296.0","Bathing","2263.0","3.0","Rhodes","Plane","7.0","July","ThreeStars","Hotel Dafni, Rhodes"
"Journey297","297.0","Bathing","3553.0","4.0","Rhodes","Plane","14.0","August","ThreeStars","Hotel Dafni, Rhodes"
"Journey298","298.0","Bathing","2791.0","3.0","Rhodes","Plane","14.0","July","ThreeStars","Hotel Dafni, Rhodes"
"Journey299","299.0","Recreation","1968.0","2.0","Rhodes","Plane","7.0","May","ThreeStars","Hotel Kalithea Sun, Rhodes"
"Journey300","300.0","Active","2758.0","2.0","Rhodes","Plane","14.0","June","ThreeStars","Hotel Kalithea Sun, Rhodes"
"Journey301","301.0","Active","4364.0","3.0","Rhodes","Plane","21.0","July","ThreeStars","Hotel Kalithea Sun, Rhodes"
"Journey302","302.0","Education","2478.0","2.0","Rhodes","Plane","14.0","October","ThreeStars","Hotel Kalithea Sun, Rhodes"
"Journey303","303.0","Bathing","3869.0","3.0","Rhodes","Plane","14.0","July","FourStars","Hotel Columbia Resort, Rhodes"
"Journey304","304.0","Bathing","3958.0","2.0","Rhodes","Plane","21.0","September","FourStars","Hotel Columbia Resort, Rhodes"
"Journey305","305.0","Bathing","4925.0","4.0","Rhodes","Plane","14.0","August","FourStars","Hotel Columbia Resort, Rhodes"
"Journey306","306.0","Active","3498.0","2.0","Rhodes","Plane","14.0","July","FourStars","Hotel Paradise Beach, Rhodes"
"Journey307","307.0","Recreation","2298.0","2.0","Rhodes","Plane","7.0","June","FourStars","Hotel Paradise Beach, Rhodes"
"Journey308","308.0","Education","3098.0","2.0","Rhodes","Plane","14.0","September","FourStars","Hotel Paradise Beach, Rhodes"
"Journey309","309.0","Education","2068.0","4.0","England","Car","14.0","June","HolidayFlat","H.Flat England"
"Journey310","310.0","Language","3582.0","6.0","England","Car","21.0","July","HolidayFlat","H.Flat England"
"Journey311","311.0","Language","2398.0","8.0","England","Car","14.0","August","HolidayFlat","H.Flat England"
"Journey312","312.0","Recreation","2298.0","7.0","England","Car","14.0","September","HolidayFlat","H.Flat England"
"Journey313","313.0","Recreation","3297.0","6.0","England","Car","21.0","July","HolidayFlat","H.Flat England"
"Journey314","314.0","Education","3208.0","8.0","Ireland","Car","14.0","August","HolidayFlat","H.Flat Ireland"
"Journey315","315.0","Language","2592.0","6.0","Ireland","Car","21.0","June","HolidayFlat","H.Flat Ireland"
"Journey316","316.0","Language","2048.0","7.0","Ireland","Car","14.0","July","HolidayFlat","H.Flat Ireland"
"Journey317","317.0","Recreation","2388.0","4.0","Ireland","Car","14.0","August","HolidayFlat","H.Flat Ireland"
"Journey318","318.0","Recreation","2457.0","8.0","Ireland","Car","21.0","September","HolidayFlat","H.Flat Ireland"
"Journey319","319.0","Education","2458.0","3.0","Scotland","Car","14.0","June","HolidayFlat","H.Flat Scotland"
"Journey320","320.0","Language","3282.0","2.0","Scotland","Car","21.0","July","HolidayFlat","H.Flat Scotland"
"Journey321","321.0","Language","3878.0","6.0","Scotland","Car","14.0","August","HolidayFlat","H.Flat Scotland"
"Journey322","322.0","Recreation","2738.0","2.0","Scotland","Car","14.0","September","HolidayFlat","H.Flat Scotland"
"Journey323","323.0","Recreation","2248.0","2.0","Scotland","Car","21.0","July","HolidayFlat","H.Flat Scotland"
"Journey324","324.0","Education","1808.0","5.0","Wales","Car","14.0","June","HolidayFlat","H.Flat Wales"
"Journey325","325.0","Language","3732.0","5.0","Wales","Car","21.0","July","HolidayFlat","H.Flat Wales"
"Journey326","326.0","Language","2628.0","6.0","Wales","Car","14.0","August","HolidayFlat","H.Flat Wales"
"Journey327","327.0","Recreation","1888.0","6.0","Wales","Car","14.0","September","HolidayFlat","H.Flat Wales"
"Journey328","328.0","Recreation","3297.0","6.0","Wales","Car","21.0","July","HolidayFlat","H.Flat Wales"
"Journey329","329.0","Bathing","1408.0","6.0","NorthSea","Car","14.0","June","HolidayFlat","H.Flat North Sea, Holland"
"Journey330","330.0","Bathing","649.0","5.0","NorthSea","Car","7.0","July","HolidayFlat","H.Flat North Sea, Holland"
"Journey331","331.0","Bathing","1478.0","3.0","NorthSea","Car","14.0","August","HolidayFlat","H.Flat North Sea, Holland"
"Journey332","332.0","Active","1598.0","4.0","NorthSea","Car","14.0","July","HolidayFlat","H.Flat North Sea, Holland"
"Journey333","333.0","Recreation","559.0","6.0","NorthSea","Train","7.0","August","HolidayFlat","H.Flat North Sea, Holland"
"Journey334","334.0","Recreation","1198.0","3.0","NorthSea","Train","14.0","September","HolidayFlat","H.Flat North Sea, Holland"
"Journey335","335.0","Active","514.0","5.0","NorthSea","Coach","7.0","June","HolidayFlat","H.Flat North Sea, Holland"
"Journey336","336.0","Bathing","474.0","5.0","NorthSea","Car","3.0","June","HolidayFlat","H.Flat North Sea, Holland"
"Journey337","337.0","Bathing","539.0","4.0","NorthSea","Car","3.0","May","HolidayFlat","H.Flat North Sea, Holland"
"Journey338","338.0","Bathing","329.0","6.0","NorthSea","Car","3.0","June","HolidayFlat","H.Flat North Sea, Holland"
"Journey339","339.0","Active","3280.0","4.0","Holland","Car","14.0","April","HolidayFlat","Park Gran Dorado, Holland"
"Journey340","340.0","Active","790.0","2.0","Holland","Train","7.0","May","HolidayFlat","Park Gran Dorado, Holland"
"Journey341","341.0","Active","2620.0","4.0","Holland","Train","14.0","June","HolidayFlat","Park Gran Dorado, Holland"
"Journey342","342.0","Active","1900.0","5.0","Holland","Train","14.0","October","HolidayFlat","Park Gran Dorado, Holland"
"Journey343","343.0","Recreation","2760.0","4.0","Holland","Train","14.0","July","HolidayFlat","Park Gran Dorado, Holland"
"Journey344","344.0","Recreation","1580.0","6.0","Holland","Coach","7.0","August","HolidayFlat","Park Gran Dorado, Holland"
"Journey345","345.0","Recreation","2468.0","2.0","Holland","Coach","14.0","September","HolidayFlat","Park Gran Dorado, Holland"
"Journey346","346.0","Recreation","2780.0","4.0","Holland","Coach","14.0","July","HolidayFlat","Park Gran Dorado, Holland"
"Journey347","347.0","Recreation","485.0","2.0","Holland","Coach","3.0","May","HolidayFlat","Park Gran Dorado, Holland"
"Journey348","348.0","Recreation","735.0","4.0","Holland","Coach","4.0","June","HolidayFlat","Park Gran Dorado, Holland"
"Journey349","349.0","Recreation","705.0","6.0","Holland","Coach","3.0","September","HolidayFlat","Park Gran Dorado, Holland"
"Journey350","350.0","Bathing","1438.0","2.0","AdriaticSea","Car","14.0","June","TwoStars","Hotel Mexico, Adriatic Sea"
"Journey351","351.0","Bathing","1375.0","3.0","AdriaticSea","Car","7.0","July","TwoStars","Hotel Tropic, Adriatic Sea"
"Journey352","352.0","Bathing","1547.0","4.0","AdriaticSea","Car","14.0","August","TwoStars","Hotel Mexico, Adriatic Sea"
"Journey353","353.0","Bathing","1238.0","2.0","AdriaticSea","Car","14.0","September","TwoStars","Hotel Mexico, Adriatic Sea"
"Journey354","354.0","Bathing","2311.0","3.0","AdriaticSea","Car","14.0","August","TwoStars","Hotel Tropic, Adriatic Sea"
"Journey355","355.0","Active","1193.0","3.0","AdriaticSea","Car","7.0","July","TwoStars","Hotel Sporting, Adriatic Sea"
"Journey356","356.0","Recreation","1758.0","2.0","AdriaticSea","Car","21.0","May","TwoStars","Hotel Sporting, Adriatic Sea"
"Journey357","357.0","Bathing","1678.0","2.0","AdriaticSea","Car","14.0","July","ThreeStars","Hotel Nautilus, Adriatic Sea"
"Journey358","358.0","Bathing","1349.0","4.0","AdriaticSea","Car","7.0","August","ThreeStars","Hotel Nautilus, Adriatic Sea"
"Journey359","359.0","Recreation","1278.0","2.0","AdriaticSea","Car","14.0","June","ThreeStars","Hotel Nautilus, Adriatic Sea"
"Journey360","360.0","Bathing","679.0","6.0","AdriaticSea","Car","7.0","June","HolidayFlat","H.Flat Adriatic Sea"
"Journey361","361.0","Bathing","699.0","4.0","AdriaticSea","Car","7.0","July","HolidayFlat","H.Flat Adriatic Sea"
"Journey362","362.0","Bathing","1139.0","5.0","AdriaticSea","Car","7.0","August","HolidayFlat","H.Flat Adriatic Sea"
"Journey363","363.0","Bathing","439.0","6.0","AdriaticSea","Car","14.0","September","HolidayFlat","H.Flat Adriatic Sea"
"Journey364","364.0","Bathing","598.0","2.0","AdriaticSea","Car","14.0","May","HolidayFlat","H.Flat Adriatic Sea"
"Journey365","365.0","Bathing","1538.0","3.0","AdriaticSea","Car","14.0","July","HolidayFlat","H.Flat Adriatic Sea"
"Journey366","366.0","Active","998.0","4.0","AdriaticSea","Car","14.0","June","HolidayFlat","H.Flat Adriatic Sea"
"Journey367","367.0","Active","1359.0","8.0","AdriaticSea","Car","7.0","August","HolidayFlat","H.Flat Adriatic Sea"
"Journey368","368.0","Recreation","798.0","3.0","AdriaticSea","Car","14.0","September","HolidayFlat","H.Flat Adriatic Sea"
"Journey369","369.0","Recreation","399.0","6.0","AdriaticSea","Car","7.0","June","HolidayFlat","H.Flat Adriatic Sea"
"Journey370","370.0","Recreation","1608.0","2.0","LakeGarda","Car","14.0","May","TwoStars","Hotel Palme, Lake Garda"
"Journey371","371.0","Recreation","1838.0","2.0","LakeGarda","Car","14.0","June","TwoStars","Hotel Marco Polo, Lake Garda"
"Journey372","372.0","Recreation","1593.0","4.0","LakeGarda","Car","7.0","July","TwoStars","Hotel Palme, Lake Garda"
"Journey373","373.0","Bathing","2897.0","3.0","LakeGarda","Car","14.0","August","ThreeStars","Hotel Excelsior Bay, Lake Garda"
"Journey374","374.0","Active","1098.0","2.0","LakeGarda","Car","7.0","September","ThreeStars","Hotel Excelsior Bay, Lake Garda"
"Journey375","375.0","Active","2897.0","3.0","LakeGarda","Car","14.0","June","ThreeStars","Hotel Royal, Lake Garda"
"Journey376","376.0","Wandering","5497.0","3.0","LakeGarda","Car","21.0","July","ThreeStars","Hotel Royal, Lake Garda"
"Journey377","377.0","Recreation","2118.0","2.0","LakeGarda","Car","14.0","September","FourStars","Hotel Olimpo, Lake Garda"
"Journey378","378.0","Recreation","3138.0","2.0","LakeGarda","Car","21.0","May","FourStars","Hotel Olimpo, Lake Garda"
"Journey379","379.0","Wandering","3678.0","3.0","LakeGarda","Car","14.0","July","FourStars","Hotel Leonardo, Lake Garda"
"Journey380","380.0","Recreation","798.0","4.0","LakeGarda","Car","14.0","May","HolidayFlat","H.Flat Gardasee, Italy"
"Journey381","381.0","Recreation","1398.0","5.0","LakeGarda","Car","14.0","June","HolidayFlat","H.Flat Gardasee, Italy"
"Journey382","382.0","Recreation","479.0","6.0","LakeGarda","Car","7.0","July","HolidayFlat","H.Flat Gardasee, Italy"
"Journey383","383.0","Recreation","624.0","2.0","LakeGarda","Car","7.0","August","HolidayFlat","H.Flat Gardasee, Italy"
"Journey384","384.0","Active","579.0","3.0","LakeGarda","Car","7.0","September","HolidayFlat","H.Flat Gardasee, Italy"
"Journey385","385.0","Active","884.0","6.0","LakeGarda","Car","7.0","July","HolidayFlat","H.Flat Gardasee, Italy"
"Journey386","386.0","Active","928.0","2.0","LakeGarda","Car","14.0","June","HolidayFlat","H.Flat Gardasee, Italy"
"Journey387","387.0","Bathing","1099.0","3.0","LakeGarda","Car","7.0","August","HolidayFlat","H.Flat Gardasee, Italy"
"Journey388","388.0","Wandering","599.0","4.0","LakeGarda","Car","7.0","September","HolidayFlat","H.Flat Gardasee, Italy"
"Journey389","389.0","Wandering","1078.0","2.0","LakeGarda","Car","14.0","June","HolidayFlat","H.Flat Gardasee, Italy"
"Journey390","390.0","Bathing","1178.0","2.0","Riviera","Car","14.0","July","OneStar","Hotel Tritone, Ital. Riviera"
"Journey391","391.0","Bathing","622.0","3.0","Riviera","Car","7.0","August","OneStar","Hotel Tritone, Ital. Riviera"
"Journey392","392.0","Recreation","648.0","2.0","Riviera","Car","7.0","April","TwoStars","Hotel Al Sole, Ital. Riviera"
"Journey393","393.0","Recreation","1508.0","2.0","Riviera","Car","14.0","June","TwoStars","Hotel Al Sole, Ital. Riviera"
"Journey394","394.0","Bathing","747.0","3.0","Riviera","Car","7.0","September","TwoStars","Hotel La Vela, Ital. Riviera"
"Journey395","395.0","Bathing","2222.0","4.0","Riviera","Car","14.0","July","TwoStars","Hotel La Vela, Ital. Riviera"
"Journey396","396.0","Bathing","869.0","5.0","Riviera","Car","7.0","July","HolidayFlat","H.Flat Riviera, Italy"
"Journey397","397.0","Bathing","484.0","3.0","Riviera","Car","7.0","August","HolidayFlat","H.Flat Riviera, Italy"
"Journey398","398.0","Bathing","599.0","2.0","Riviera","Car","14.0","September","HolidayFlat","H.Flat Riviera, Italy"
"Journey399","399.0","Bathing","2678.0","4.0","Riviera","Car","14.0","August","HolidayFlat","H.Flat Riviera, Italy"
"Journey400","400.0","Bathing","1738.0","3.0","Riviera","Car","14.0","July","HolidayFlat","H.Flat Riviera, Italy"
"Journey401","401.0","Recreation","429.0","6.0","Riviera","Car","7.0","June","HolidayFlat","H.Flat Riviera, Italy"
"Journey402","402.0","Recreation","1088.0","6.0","Riviera","Car","14.0","May","HolidayFlat","H.Flat Riviera, Italy"
"Journey403","403.0","Active","529.0","4.0","Riviera","Car","7.0","June","HolidayFlat","H.Flat Riviera, Italy"
"Journey404","404.0","Active","1588.0","2.0","Riviera","Car","14.0","July","HolidayFlat","H.Flat Riviera, Italy"
"Journey405","405.0","Wandering","1258.0","2.0","Tyrol","Car","14.0","June","TwoStars","Pension garni Toni, South Tyrol"
"Journey406","406.0","Recreation","822.0","3.0","Tyrol","Car","7.0","May","TwoStars","Pension garni Toni, South Tyrol"
"Journey407","407.0","Wandering","1499.0","3.0","Tyrol","Car","14.0","July","ThreeStars","Hotel Untersteinerhof, South Tyrol"
"Journey408","408.0","Wandering","718.0","2.0","Tyrol","Car","7.0","September","ThreeStars","Hotel Untersteinerhof, South Tyrol"
"Journey409","409.0","Recreation","1528.0","2.0","Tyrol","Car","14.0","August","ThreeStars","Gasthof Adler, South Tyrol"
"Journey410","410.0","Active","798.0","2.0","Tyrol","Car","7.0","July","ThreeStars","Gasthof Adler, South Tyrol"
"Journey411","411.0","Wandering","1479.0","3.0","Tyrol","Car","7.0","June","FourStars","Posthotel Weisses Roessel, South Tyrol"
"Journey412","412.0","Wandering","2658.0","2.0","Tyrol","Car","14.0","July","FourStars","Posthotel Weisses Roessel, South Tyrol"
"Journey413","413.0","Recreation","1997.0","4.0","Tyrol","Car","7.0","September","FourStars","Hotel Nido, South Tyrol"
"Journey414","414.0","Recreation","2888.0","2.0","Tyrol","Car","14.0","June","FourStars","Hotel Nido, South Tyrol"
"Journey415","415.0","Wandering","439.0","4.0","Tyrol","Car","7.0","June","HolidayFlat","H.Flat Tirol, Italy"
"Journey416","416.0","Wandering","319.0","3.0","Tyrol","Car","7.0","July","HolidayFlat","H.Flat Tirol, Italy"
"Journey417","417.0","Recreation","769.0","6.0","Tyrol","Car","7.0","August","HolidayFlat","H.Flat Tirol, Italy"
"Journey418","418.0","Recreation","1398.0","4.0","Tyrol","Car","14.0","September","HolidayFlat","H.Flat Tirol, Italy"
"Journey419","419.0","Active","559.0","4.0","Tyrol","Car","7.0","May","HolidayFlat","H.Flat Tirol, Italy"
"Journey420","420.0","Language","2039.0","1.0","Malta","Plane","21.0","September","TwoStars","Sprachkurs, Malta"
"Journey421","421.0","Language","4078.0","2.0","Malta","Plane","21.0","July","TwoStars","Sprachkurs, Malta"
"Journey422","422.0","Language","1539.0","1.0","Malta","Plane","14.0","August","TwoStars","Sprachkurs, Malta"
"Journey423","423.0","Bathing","1598.0","2.0","Malta","Plane","14.0","June","TwoStars","Hotel Viking, Malta"
"Journey424","424.0","Language","2039.0","1.0","Malta","Plane","21.0","September","ThreeStars","Sprachkurs, Malta"
"Journey425","425.0","Bathing","3637.0","3.0","Malta","Plane","14.0","July","ThreeStars","Hotel Calypso, Malta"
"Journey426","426.0","Bathing","4476.0","4.0","Malta","Plane","14.0","August","ThreeStars","Hotel Calypso, Malta"
"Journey427","427.0","Bathing","4729.0","3.0","Malta","Plane","21.0","July","ThreeStars","Hotel Calypso, Malta"
"Journey428","428.0","Active","3078.0","2.0","Malta","Plane","14.0","September","ThreeStars","Hotel Atlantis, Malta"
"Journey429","429.0","Recreation","3518.0","2.0","Malta","Plane","21.0","May","ThreeStars","Hotel Atlantis, Malta"
"Journey430","430.0","Bathing","4147.0","3.0","Malta","Plane","14.0","August","FourStars","Hotel Suncrest, Malta"
"Journey431","431.0","Bathing","3978.0","2.0","Malta","Plane","21.0","June","FourStars","Hotel Suncrest, Malta"
"Journey432","432.0","Active","3267.0","4.0","Malta","Plane","7.0","July","FourStars","Hotel Suncrest, Malta"
"Journey433","433.0","Active","4391.0","3.0","Malta","Plane","14.0","August","FourStars","Hotel Cornucopia, Malta"
"Journey434","434.0","Recreation","3278.0","2.0","Malta","Plane","14.0","May","FourStars","Hotel Cornucopia, Malta"
"Journey435","435.0","Wandering","1008.0","2.0","Carinthia","Car","14.0","May","TwoStars","Pension Linde, Carinthia"
"Journey436","436.0","Wandering","538.0","3.0","Carinthia","Car","7.0","June","TwoStars","Pension Linde, Carinthia"
"Journey437","437.0","Recreation","1472.0","3.0","Carinthia","Car","14.0","July","TwoStars","Pension Seehof, Carinthia"
"Journey438","438.0","Recreation","1438.0","2.0","Carinthia","Car","21.0","August","TwoStars","Pension Seehof, Carinthia"
"Journey439","439.0","Wandering","1498.0","2.0","Carinthia","Car","14.0","September","ThreeStars","Aktivhotel Alte Muehle, Carinthia"
"Journey440","440.0","Wandering","1326.0","5.0","Carinthia","Car","7.0","August","ThreeStars","Ferienhotel Eichenhof, Carinthia"
"Journey441","441.0","Wandering","1247.0","3.0","Carinthia","Car","7.0","July","ThreeStars","Ferienhotel Eichenhof, Carinthia"
"Journey442","442.0","Recreation","1058.0","2.0","Carinthia","Car","7.0","June","ThreeStars","Hotel Ebner, Carinthia"
"Journey443","443.0","Recreation","1698.0","2.0","Carinthia","Car","14.0","May","ThreeStars","Hotel Ebner, Carinthia"
"Journey444","444.0","Active","2572.0","3.0","Carinthia","Car","14.0","July","ThreeStars","Aktivhotel Alte Muehle, Carinthia"
"Journey445","445.0","Wandering","499.0","4.0","Carinthia","Car","7.0","May","HolidayFlat","H.Flat Kaernten"
"Journey446","446.0","Wandering","1049.0","6.0","Carinthia","Car","7.0","June","HolidayFlat","H.Flat Kaernten"
"Journey447","447.0","Wandering","779.0","4.0","Carinthia","Car","7.0","July","HolidayFlat","H.Flat Kaernten"
"Journey448","448.0","Wandering","1858.0","3.0","Carinthia","Car","14.0","August","HolidayFlat","H.Flat Kaernten"
"Journey449","449.0","Recreation","1149.0","6.0","Carinthia","Car","7.0","September","HolidayFlat","H.Flat Kaernten"
"Journey450","450.0","Recreation","559.0","3.0","Carinthia","Car","7.0","May","HolidayFlat","H.Flat Kaernten"
"Journey451","451.0","Recreation","1073.0","2.0","Carinthia","Car","14.0","June","HolidayFlat","H.Flat Kaernten"
"Journey452","452.0","Recreation","1358.0","3.0","Carinthia","Car","14.0","July","HolidayFlat","H.Flat Kaernten"
"Journey453","453.0","Active","829.0","6.0","Carinthia","Car","7.0","August","HolidayFlat","H.Flat Kaernten"
"Journey454","454.0","Active","579.0","4.0","Carinthia","Car","7.0","September","HolidayFlat","H.Flat Kaernten"
"Journey455","455.0","Wandering","778.0","2.0","SalzbergerLand","Car","14.0","May","TwoStars","Pension Claudia, Salzb. Land"
"Journey456","456.0","Recreation","418.0","2.0","SalzbergerLand","Car","7.0","June","TwoStars","Pension Claudia, Salzb. Land"
"Journey457","457.0","Wandering","1572.0","3.0","SalzbergerLand","Car","14.0","July","ThreeStars","Hotel Tauernhof, Salzb. Land"
"Journey458","458.0","Active","837.0","4.0","SalzbergerLand","Car","7.0","August","ThreeStars","Hotel Tauernhof, Salzb. Land"
